loan_id,customer_id,loan_type,city,employment_type,loan_amount,interest_rate,tenure_years,monthly_emi,monthly_income,emi_to_income_ratio,credit_score,loan_status,disbursal_date,amount_recovered,disbursal_year,disbursal_quarter,credit_category,emi_burden_category,is_defaulted,ltv_approx
LOAN101305,CUST201305,Home Loan,Mumbai,Freelancer,2095000,8.85,15,21062,58476,36,621,Active,2020-04-30,0,2020,2020Q2,Poor,Moderate Burden,0,80
LOAN101306,CUST201306,Home Loan,Pune,Freelancer,1732000,8.35,30,13134,22799,57.6,446,Defaulted,2021-09-01,360347,2021,2021Q3,Very Poor,Critical Burden,1,80
LOAN101307,CUST201307,Auto Loan,Mumbai,Business Owner,1290000,8.66,7,20533,379354,5.4,685,Closed,2023-04-13,0,2023,2023Q2,Fair,Low Burden,0,80
LOAN101308,CUST201308,Personal Loan,Hyderabad,Self-Employed,228000,15.65,3,7976,338049,2.4,765,NPA,2023-10-28,26007,2023,2023Q4,Excellent,Low Burden,1,80
LOAN101309,CUST201309,Auto Loan,Hyderabad,Self-Employed,487000,8.43,3,15358,166210,9.2,837,Active,2020-06-15,0,2020,2020Q2,Excellent,Low Burden,0,80
LOAN101310,CUST201310,Personal Loan,Hyderabad,Freelancer,172000,17.42,3,6168,175348,3.5,672,Closed,2020-05-25,0,2020,2020Q2,Fair,Low Burden,0,80
LOAN101311,CUST201311,Home Loan,Bangalore,Salaried,833000,9.32,20,7667,89965,8.5,817,Closed,2020-11-26,0,2020,2020Q4,Excellent,Low Burden,0,80
LOAN101312,CUST201312,Business Loan,Chennai,Business Owner,1773000,10.2,10,23627,75047,31.5,681,Defaulted,2021-06-12,927881,2021,2021Q2,Fair,Moderate Burden,1,80
LOAN101313,CUST201313,Business Loan,Jaipur,Business Owner,931000,14.17,5,21745,31309,69.5,405,NPA,2020-06-12,288784,2020,2020Q2,Very Poor,Critical Burden,1,80
LOAN101314,CUST201314,Home Loan,Kolkata,Self-Employed,4348000,9.08,10,55267,178030,31,881,Active,2020-01-09,0,2020,2020Q1,Excellent,Moderate Burden,0,80
LOAN101316,CUST201316,Personal Loan,Pune,Salaried,322000,17.75,2,16037,125474,12.8,693,Active,2020-11-06,0,2020,2020Q4,Fair,Low Burden,0,80
LOAN101317,CUST201317,Auto Loan,Jaipur,Self-Employed,1340000,9.34,3,42824,102266,41.9,588,Active,2021-10-23,0,2021,2021Q4,Very Poor,High Burden,0,80
LOAN101318,CUST201318,Auto Loan,Mumbai,Self-Employed,1361000,9.95,3,43884,164574,26.7,759,Active,2021-08-01,0,2021,2021Q3,Excellent,Moderate Burden,0,80
LOAN101319,CUST201319,Home Loan,Ahmedabad,Self-Employed,2162000,9.48,30,18148,48328,37.6,547,Defaulted,2022-07-22,1077597,2022,2022Q3,Very Poor,Moderate Burden,1,80
LOAN101320,CUST201320,Education Loan,Chennai,Freelancer,353000,8.02,10,4287,20857,20.6,864,Active,2022-02-13,0,2022,2022Q1,Excellent,Low Burden,0,80
LOAN101321,CUST201321,Home Loan,Jaipur,Salaried,4044000,8.39,30,30780,36255,84.9,548,Active,2020-10-15,0,2020,2020Q4,Very Poor,Critical Burden,0,80
LOAN101322,CUST201322,Education Loan,Pune,Self-Employed,420000,8.42,5,8601,98603,8.7,770,Active,2020-11-14,0,2020,2020Q4,Excellent,Low Burden,0,80
LOAN101323,CUST201323,Business Loan,Pune,Self-Employed,1855000,11.61,7,32360,32107,100.8,426,Defaulted,2021-10-05,215803,2021,2021Q4,Very Poor,Critical Burden,1,80
LOAN101324,CUST201324,Education Loan,Mumbai,Self-Employed,1863000,10.48,7,31392,399471,7.9,792,NPA,2022-08-09,799855,2022,2022Q3,Excellent,Low Burden,1,80
LOAN101325,CUST201325,Personal Loan,Chennai,Business Owner,467000,11.17,1,41311,53177,77.7,561,NPA,2023-09-05,71257,2023,2023Q3,Very Poor,Critical Burden,1,80
LOAN101326,CUST201326,Education Loan,Hyderabad,Salaried,1156000,8.11,15,11121,62219,17.9,843,Active,2023-02-19,0,2023,2023Q1,Excellent,Low Burden,0,80
LOAN101327,CUST201327,Education Loan,Kolkata,Business Owner,1161000,9.86,5,24588,446606,5.5,802,Active,2021-10-15,0,2021,2021Q4,Excellent,Low Burden,0,80
LOAN101328,CUST201328,Auto Loan,Pune,Business Owner,1445000,9.22,5,30150,450235,6.7,795,Active,2023-11-13,0,2023,2023Q4,Excellent,Low Burden,0,80
LOAN101329,CUST201329,Personal Loan,Hyderabad,Freelancer,284000,11.47,5,6242,24671,25.3,752,Defaulted,2022-06-28,0,2022,2022Q2,Excellent,Moderate Burden,1,80
LOAN101330,CUST201330,Education Loan,Jaipur,Freelancer,1361000,9.07,5,28298,47778,59.2,503,Active,2021-09-09,0,2021,2021Q3,Very Poor,Critical Burden,0,80
LOAN101331,CUST201331,Personal Loan,Pune,Business Owner,195000,15.73,1,17668,282172,6.3,831,Active,2020-08-14,0,2020,2020Q3,Excellent,Low Burden,0,80
LOAN101332,CUST201332,Personal Loan,Jaipur,Business Owner,474000,13.29,5,10855,349696,3.1,653,Active,2020-12-02,0,2020,2020Q4,Fair,Low Burden,0,80
LOAN101333,CUST201333,Home Loan,Mumbai,Business Owner,1576000,7.94,15,15007,48890,30.7,784,Active,2020-04-04,0,2020,2020Q2,Excellent,Moderate Burden,0,80
LOAN101334,CUST201334,Personal Loan,Delhi,Self-Employed,322000,17.17,5,8032,29707,27,727,Active,2022-08-08,0,2022,2022Q3,Good,Moderate Burden,0,80
LOAN101335,CUST201335,Auto Loan,Kolkata,Self-Employed,1090000,10.42,7,18333,20099,91.2,410,Active,2021-04-17,0,2021,2021Q2,Very Poor,Critical Burden,0,80
LOAN101336,CUST201336,Home Loan,Mumbai,Salaried,1859000,7.52,20,14999,385699,3.9,804,Active,2023-05-21,0,2023,2023Q2,Excellent,Low Burden,0,80
LOAN101337,CUST201337,Home Loan,Mumbai,Business Owner,3408000,8.92,15,34404,26810,128.3,563,NPA,2023-05-13,1004145,2023,2023Q2,Very Poor,Critical Burden,1,80
LOAN101338,CUST201338,Education Loan,Pune,Business Owner,1201000,10.18,7,20050,395267,5.1,769,Defaulted,2020-06-03,473147,2020,2020Q2,Excellent,Low Burden,1,80
LOAN101339,CUST201339,Education Loan,Ahmedabad,Freelancer,650000,8.35,10,8007,35139,22.8,821,Active,2022-10-18,0,2022,2022Q4,Excellent,Low Burden,0,80
LOAN101340,CUST201340,Auto Loan,Surat,Salaried,276000,11.04,3,9041,394401,2.3,790,Active,2023-09-18,0,2023,2023Q3,Excellent,Low Burden,0,80
LOAN101341,CUST201341,Home Loan,Pune,Freelancer,1201000,7.64,15,11229,137339,8.2,712,Defaulted,2021-02-10,0,2021,2021Q1,Good,Low Burden,1,80
LOAN101342,CUST201342,Business Loan,Jaipur,Self-Employed,635000,12.21,5,14193,89975,15.8,699,Active,2020-02-29,0,2020,2020Q1,Fair,Low Burden,0,80
LOAN101343,CUST201343,Auto Loan,Kolkata,Freelancer,1205000,11.63,3,39811,303374,13.1,747,Active,2020-09-16,0,2020,2020Q3,Good,Low Burden,0,80
LOAN101344,CUST201344,Auto Loan,Ahmedabad,Salaried,334000,9.99,7,5543,39709,14,675,Closed,2023-09-28,0,2023,2023Q3,Fair,Low Burden,0,80
LOAN101345,CUST201345,Auto Loan,Pune,Freelancer,413000,9.78,5,8730,97340,9,730,Defaulted,2021-05-24,91411,2021,2021Q2,Good,Low Burden,1,80
LOAN101346,CUST201346,Education Loan,Pune,Freelancer,697000,9.32,15,7203,177698,4.1,742,Active,2021-09-20,0,2021,2021Q3,Good,Low Burden,0,80
LOAN101347,CUST201347,Home Loan,Hyderabad,Freelancer,4814000,7.76,30,34521,72737,47.5,692,Defaulted,2022-05-05,0,2022,2022Q2,Fair,High Burden,1,80
LOAN101348,CUST201348,Auto Loan,Chennai,Self-Employed,1113000,9.03,7,17924,116139,15.4,880,Active,2020-10-28,0,2020,2020Q4,Excellent,Low Burden,0,80
LOAN101349,CUST201349,Education Loan,Delhi,Self-Employed,977000,9.7,5,20614,22739,90.7,534,Active,2021-04-16,0,2021,2021Q2,Very Poor,Critical Burden,0,80
LOAN101350,CUST201350,Auto Loan,Jaipur,Freelancer,789000,11.79,7,13840,163210,8.5,731,Active,2022-03-19,0,2022,2022Q1,Good,Low Burden,0,80
LOAN101351,CUST201351,Home Loan,Kolkata,Business Owner,2279000,8.76,25,18752,40174,46.7,506,NPA,2023-10-16,1282066,2023,2023Q4,Very Poor,High Burden,1,80
LOAN101352,CUST201352,Auto Loan,Delhi,Freelancer,364000,8.81,5,7523,67028,11.2,890,NPA,2022-04-10,144560,2022,2022Q2,Excellent,Low Burden,1,80
LOAN101353,CUST201353,Personal Loan,Hyderabad,Salaried,222000,12.77,3,7455,198245,3.8,795,Closed,2020-04-16,0,2020,2020Q2,Excellent,Low Burden,0,80
LOAN101354,CUST201354,Personal Loan,Kolkata,Business Owner,168000,11.66,3,5553,80110,6.9,724,Active,2022-08-31,0,2022,2022Q3,Good,Low Burden,0,80
LOAN101355,CUST201355,Home Loan,Pune,Freelancer,2934000,7.93,10,35489,88177,40.2,561,Active,2022-04-10,0,2022,2022Q2,Very Poor,High Burden,0,80
LOAN101356,CUST201356,Home Loan,Delhi,Freelancer,3592000,7.88,20,29777,26206,113.6,352,Defaulted,2021-10-12,1379241,2021,2021Q4,Very Poor,Critical Burden,1,80
LOAN101357,CUST201357,Education Loan,Delhi,Salaried,1698000,9.82,15,18060,76476,23.6,773,Closed,2022-06-11,0,2022,2022Q2,Excellent,Low Burden,0,80
LOAN101358,CUST201358,Auto Loan,Jaipur,Salaried,871000,11.91,5,19335,73264,26.4,819,Active,2022-04-27,0,2022,2022Q2,Excellent,Moderate Burden,0,80
LOAN101359,CUST201359,Home Loan,Surat,Self-Employed,3737000,8.17,10,45677,63522,71.9,579,Defaulted,2021-05-05,1123381,2021,2021Q2,Very Poor,Critical Burden,1,80
LOAN101360,CUST201360,Business Loan,Hyderabad,Salaried,2357000,15.43,5,56606,85198,66.4,517,Defaulted,2021-03-02,864271,2021,2021Q1,Very Poor,Critical Burden,1,80
LOAN101361,CUST201361,Home Loan,Bangalore,Salaried,1182000,8.18,30,8822,28600,30.8,813,Active,2023-12-25,0,2023,2023Q4,Excellent,Moderate Burden,0,80
LOAN101362,CUST201362,Auto Loan,Hyderabad,Freelancer,364000,8.43,7,5752,360551,1.6,682,Closed,2020-01-17,0,2020,2020Q1,Fair,Low Burden,0,80
LOAN101363,CUST201363,Business Loan,Surat,Salaried,2622000,15.7,5,63345,75153,84.3,546,Defaulted,2021-02-10,1591155,2021,2021Q1,Very Poor,Critical Burden,1,80
LOAN101364,CUST201364,Home Loan,Delhi,Freelancer,539000,7.79,10,6480,25904,25,739,Closed,2022-09-17,0,2022,2022Q3,Good,Low Burden,0,80
LOAN101365,CUST201365,Business Loan,Hyderabad,Freelancer,2536000,12.26,10,36766,320791,11.5,754,Active,2023-05-28,0,2023,2023Q2,Excellent,Low Burden,0,80
LOAN101366,CUST201366,Personal Loan,Bangalore,Self-Employed,179000,15.3,3,6231,160936,3.9,700,Closed,2023-07-02,0,2023,2023Q3,Good,Low Burden,0,80
LOAN101367,CUST201367,Personal Loan,Pune,Salaried,427000,12.71,1,38080,33866,112.4,471,Defaulted,2020-08-22,193131,2020,2020Q3,Very Poor,Critical Burden,1,80
LOAN101368,CUST201368,Home Loan,Hyderabad,Freelancer,3853000,7.59,10,45917,45382,101.2,433,NPA,2023-05-09,2313165,2023,2023Q2,Very Poor,Critical Burden,1,80
LOAN101369,CUST201369,Personal Loan,Bangalore,Self-Employed,193000,17.26,2,9566,272740,3.5,812,Active,2021-08-03,0,2021,2021Q3,Excellent,Low Burden,0,80
LOAN101370,CUST201370,Home Loan,Chennai,Freelancer,4445000,9.38,10,57226,97038,59,435,NPA,2020-12-06,1892390,2020,2020Q4,Very Poor,Critical Burden,1,80
LOAN101371,CUST201371,Home Loan,Chennai,Business Owner,677000,8.88,10,8532,169554,5,672,Active,2023-02-19,0,2023,2023Q1,Fair,Low Burden,0,80
LOAN101372,CUST201372,Personal Loan,Delhi,Salaried,421000,13.8,5,9752,47926,20.3,747,Active,2021-02-15,0,2021,2021Q1,Good,Low Burden,0,80
LOAN101373,CUST201373,Home Loan,Chennai,Business Owner,756000,8.68,10,9446,30421,31.1,694,Active,2021-04-17,0,2021,2021Q2,Fair,Moderate Burden,0,80
LOAN101374,CUST201374,Home Loan,Kolkata,Salaried,2008000,9.01,30,16171,48825,33.1,847,Active,2020-12-14,0,2020,2020Q4,Excellent,Moderate Burden,0,80
LOAN101375,CUST201375,Home Loan,Delhi,Self-Employed,1131000,8.85,15,11371,494418,2.3,866,Active,2021-12-12,0,2021,2021Q4,Excellent,Low Burden,0,80
LOAN101376,CUST201376,Home Loan,Chennai,Salaried,664000,8.86,20,5915,104336,5.7,900,Active,2023-02-16,0,2023,2023Q1,Excellent,Low Burden,0,80
LOAN101377,CUST201377,Personal Loan,Ahmedabad,Self-Employed,350000,13.86,2,16781,22077,76,560,Defaulted,2020-09-13,111640,2020,2020Q3,Very Poor,Critical Burden,1,80
LOAN101378,CUST201378,Personal Loan,Surat,Salaried,245000,16.1,3,8626,255223,3.4,761,Active,2023-11-16,0,2023,2023Q4,Excellent,Low Burden,0,80
LOAN101379,CUST201379,Personal Loan,Pune,Self-Employed,251000,13.77,5,5810,32816,17.7,768,Active,2023-04-10,0,2023,2023Q2,Excellent,Low Burden,0,80
LOAN101380,CUST201380,Business Loan,Mumbai,Business Owner,1699000,11.94,5,37742,59840,63.1,585,Defaulted,2020-02-20,863311,2020,2020Q1,Very Poor,Critical Burden,1,80
LOAN101381,CUST201381,Home Loan,Delhi,Freelancer,4633000,7.75,20,38035,88397,43,601,Defaulted,2020-07-09,0,2020,2020Q3,Poor,High Burden,1,80
LOAN101382,CUST201382,Auto Loan,Jaipur,Business Owner,883000,11.1,3,28950,356856,8.1,793,Closed,2022-10-03,0,2022,2022Q4,Excellent,Low Burden,0,80
LOAN101383,CUST201383,Home Loan,Ahmedabad,Salaried,3319000,9.05,10,42134,26798,157.2,552,Active,2023-03-16,0,2023,2023Q1,Very Poor,Critical Burden,0,80
LOAN101384,CUST201384,Business Loan,Bangalore,Business Owner,1165000,10.71,5,25162,204092,12.3,813,Active,2020-10-05,0,2020,2020Q4,Excellent,Low Burden,0,80
LOAN101385,CUST201385,Education Loan,Chennai,Salaried,1337000,9.09,15,13632,199297,6.8,776,Closed,2023-11-14,0,2023,2023Q4,Excellent,Low Burden,0,80
LOAN101386,CUST201386,Auto Loan,Chennai,Self-Employed,708000,9.63,7,11619,188386,6.2,815,Active,2022-02-02,0,2022,2022Q1,Excellent,Low Burden,0,80
LOAN101387,CUST201387,Auto Loan,Pune,Self-Employed,1142000,10.2,5,24377,103835,23.5,779,Active,2021-08-30,0,2021,2021Q3,Excellent,Low Burden,0,80
LOAN101388,CUST201388,Business Loan,Kolkata,Salaried,2845000,14.98,5,67652,398899,17,771,Active,2022-08-22,0,2022,2022Q3,Excellent,Low Burden,0,80
LOAN101389,CUST201389,Business Loan,Pune,Salaried,1014000,11.31,5,22204,492619,4.5,802,Closed,2023-01-01,0,2023,2023Q1,Excellent,Low Burden,0,80
LOAN101390,CUST201390,Home Loan,Surat,Self-Employed,3934000,8.14,20,33249,202457,16.4,700,Active,2023-05-20,0,2023,2023Q2,Good,Low Burden,0,80
LOAN101391,CUST201391,Home Loan,Pune,Self-Employed,3636000,7.95,25,27943,25393,110,423,Defaulted,2022-05-13,420749,2022,2022Q2,Very Poor,Critical Burden,1,80
LOAN101392,CUST201392,Business Loan,Jaipur,Self-Employed,2980000,11.8,3,98694,66317,148.8,475,Active,2020-05-12,0,2020,2020Q2,Very Poor,Critical Burden,0,80
LOAN101393,CUST201393,Business Loan,Bangalore,Business Owner,942000,11.98,5,20945,68862,30.4,818,Active,2020-02-29,0,2020,2020Q1,Excellent,Moderate Burden,0,80
LOAN101394,CUST201394,Education Loan,Pune,Business Owner,780000,10.03,15,8396,357072,2.4,707,Active,2023-02-08,0,2023,2023Q1,Good,Low Burden,0,80
LOAN101395,CUST201395,Auto Loan,Jaipur,Self-Employed,645000,11.91,3,21396,118901,18,738,Closed,2021-10-02,0,2021,2021Q4,Good,Low Burden,0,80
LOAN101396,CUST201396,Home Loan,Ahmedabad,Self-Employed,4657000,7.77,25,35237,28845,122.2,462,NPA,2022-05-16,1425058,2022,2022Q2,Very Poor,Critical Burden,1,80
LOAN101397,CUST201397,Auto Loan,Mumbai,Self-Employed,1348000,9.03,3,42885,33100,129.6,517,Defaulted,2022-06-02,196956,2022,2022Q2,Very Poor,Critical Burden,1,80
LOAN101398,CUST201398,Personal Loan,Delhi,Freelancer,465000,14.05,3,15904,68844,23.1,884,Defaulted,2022-05-07,0,2022,2022Q2,Excellent,Low Burden,1,80
LOAN101399,CUST201399,Personal Loan,Surat,Business Owner,479000,12.6,2,22683,182025,12.5,816,Active,2020-10-24,0,2020,2020Q4,Excellent,Low Burden,0,80
LOAN101400,CUST201400,Personal Loan,Delhi,Salaried,230000,15.76,3,8059,311326,2.6,769,Active,2023-06-02,0,2023,2023Q2,Excellent,Low Burden,0,80
LOAN101401,CUST201401,Auto Loan,Delhi,Freelancer,581000,8.78,3,18416,51966,35.4,521,NPA,2020-11-17,277208,2020,2020Q4,Very Poor,Moderate Burden,1,80
LOAN101402,CUST201402,Auto Loan,Surat,Freelancer,221000,10.69,3,7203,78398,9.2,869,Defaulted,2020-08-16,0,2020,2020Q3,Excellent,Low Burden,1,80
LOAN101403,CUST201403,Home Loan,Pune,Salaried,3846000,8.48,30,29518,332796,8.9,761,Closed,2020-08-21,0,2020,2020Q3,Excellent,Low Burden,0,80
LOAN101404,CUST201404,Personal Loan,Bangalore,Salaried,304000,14.09,5,7088,183607,3.9,731,Active,2020-12-29,0,2020,2020Q4,Good,Low Burden,0,80
LOAN101405,CUST201405,Education Loan,Mumbai,Self-Employed,1511000,8.64,7,24035,294863,8.2,765,Closed,2020-04-06,0,2020,2020Q2,Excellent,Low Burden,0,80
LOAN101406,CUST201406,Auto Loan,Hyderabad,Salaried,211000,10.74,7,3584,272028,1.3,788,Active,2020-04-01,0,2020,2020Q2,Excellent,Low Burden,0,80
LOAN101407,CUST201407,Business Loan,Bangalore,Self-Employed,2062000,11.47,10,28955,27506,105.3,420,Defaulted,2022-01-10,826445,2022,2022Q1,Very Poor,Critical Burden,1,80
LOAN101408,CUST201408,Home Loan,Jaipur,Salaried,3969000,8.87,15,39950,35595,112.2,545,NPA,2023-05-14,2008527,2023,2023Q2,Very Poor,Critical Burden,1,80
LOAN101409,CUST201409,Business Loan,Kolkata,Freelancer,1859000,12.12,7,32936,215106,15.3,883,Defaulted,2020-08-21,0,2020,2020Q3,Excellent,Low Burden,1,80
LOAN101410,CUST201410,Auto Loan,Ahmedabad,Business Owner,1333000,11.35,3,43862,29176,150.3,435,NPA,2021-06-15,356128,2021,2021Q2,Very Poor,Critical Burden,1,80
LOAN101411,CUST201411,Business Loan,Surat,Self-Employed,1523000,12.57,10,22355,443264,5,842,Active,2022-05-21,0,2022,2022Q2,Excellent,Low Burden,0,80
LOAN101412,CUST201412,Auto Loan,Bangalore,Salaried,721000,9.53,3,23106,54890,42.1,639,NPA,2021-08-09,280191,2021,2021Q3,Poor,High Burden,1,80
LOAN101413,CUST201413,Personal Loan,Chennai,Salaried,148000,17.73,3,5331,23518,22.7,668,Closed,2022-05-02,0,2022,2022Q2,Fair,Low Burden,0,80
LOAN101414,CUST201414,Personal Loan,Jaipur,Freelancer,332000,13.07,1,29664,34742,85.4,428,Defaulted,2023-03-03,102060,2023,2023Q1,Very Poor,Critical Burden,1,80
LOAN101415,CUST201415,Home Loan,Surat,Self-Employed,1474000,8.62,30,11459,33658,34,845,Active,2021-01-05,0,2021,2021Q1,Excellent,Moderate Burden,0,80
LOAN101416,CUST201416,Home Loan,Chennai,Self-Employed,3476000,8.47,15,34168,38157,89.5,341,Defaulted,2022-11-17,673254,2022,2022Q4,Very Poor,Critical Burden,1,80
LOAN101417,CUST201417,Education Loan,Surat,Business Owner,336000,9.75,7,5535,300400,1.8,784,Active,2022-12-02,0,2022,2022Q4,Excellent,Low Burden,0,80
LOAN101418,CUST201418,Education Loan,Mumbai,Salaried,1799000,10.6,15,19998,437158,4.6,741,Active,2020-07-13,0,2020,2020Q3,Good,Low Burden,0,80
LOAN101419,CUST201419,Education Loan,Ahmedabad,Freelancer,246000,10.12,7,4099,228236,1.8,894,Active,2021-12-22,0,2021,2021Q4,Excellent,Low Burden,0,80
LOAN101420,CUST201420,Home Loan,Delhi,Salaried,2383000,8.72,20,21013,36784,57.1,500,Defaulted,2023-11-29,1480481,2023,2023Q4,Very Poor,Critical Burden,1,80
LOAN101421,CUST201421,Personal Loan,Jaipur,Salaried,339000,13.98,1,30435,407316,7.5,885,Active,2021-05-10,0,2021,2021Q2,Excellent,Low Burden,0,80
LOAN101422,CUST201422,Business Loan,Ahmedabad,Business Owner,2611000,13.61,7,48369,99601,48.6,595,Defaulted,2021-04-05,739173,2021,2021Q2,Very Poor,High Burden,1,80
LOAN101423,CUST201423,Personal Loan,Pune,Self-Employed,356000,16.95,1,32460,302608,10.7,857,Active,2023-05-14,0,2023,2023Q2,Excellent,Low Burden,0,80
LOAN101424,CUST201424,Business Loan,Surat,Freelancer,2666000,14.99,3,92405,75921,121.7,396,Defaulted,2023-11-26,321326,2023,2023Q4,Very Poor,Critical Burden,1,80
LOAN101425,CUST201425,Auto Loan,Surat,Business Owner,665000,10.22,3,21526,202603,10.6,803,Active,2023-09-16,0,2023,2023Q3,Excellent,Low Burden,0,80
LOAN101426,CUST201426,Home Loan,Pune,Self-Employed,3428000,8.89,25,28510,76587,37.2,679,Active,2022-09-17,0,2022,2022Q3,Fair,Moderate Burden,0,80
LOAN101427,CUST201427,Home Loan,Chennai,Self-Employed,2383000,7.63,30,16875,41151,41,680,Active,2020-01-23,0,2020,2020Q1,Fair,High Burden,0,80
LOAN101428,CUST201428,Personal Loan,Chennai,Business Owner,343000,17.62,2,17061,49181,34.7,697,Closed,2022-06-07,0,2022,2022Q2,Fair,Moderate Burden,0,80
LOAN101429,CUST201429,Home Loan,Mumbai,Business Owner,924000,7.7,30,6588,31055,21.2,690,Closed,2021-05-16,0,2021,2021Q2,Fair,Low Burden,0,80
LOAN101430,CUST201430,Business Loan,Surat,Self-Employed,1061000,13.09,10,15898,129983,12.2,676,Active,2021-12-20,0,2021,2021Q4,Fair,Low Burden,0,80
LOAN101431,CUST201431,Business Loan,Hyderabad,Salaried,1936000,10.81,3,63208,79605,79.4,497,NPA,2020-05-24,904245,2020,2020Q2,Very Poor,Critical Burden,1,80
LOAN101432,CUST201432,Auto Loan,Hyderabad,Business Owner,698000,10.37,7,11722,329835,3.6,803,Active,2020-12-09,0,2020,2020Q4,Excellent,Low Burden,0,80
LOAN101433,CUST201433,Personal Loan,Chennai,Self-Employed,292000,11.65,1,25896,180293,14.4,682,Active,2023-07-16,0,2023,2023Q3,Fair,Low Burden,0,80
LOAN101434,CUST201434,Home Loan,Surat,Freelancer,2203000,8.52,15,21720,277206,7.8,744,Active,2022-12-14,0,2022,2022Q4,Good,Low Burden,0,80
LOAN101435,CUST201435,Auto Loan,Pune,Self-Employed,1151000,11.25,7,19860,154427,12.9,737,Active,2021-07-04,0,2021,2021Q3,Good,Low Burden,0,80
LOAN101436,CUST201436,Home Loan,Surat,Self-Employed,3099000,7.83,20,25594,495651,5.2,865,Active,2020-01-17,0,2020,2020Q1,Excellent,Low Burden,0,80
LOAN101437,CUST201437,Education Loan,Chennai,Business Owner,1633000,10.52,15,18071,50345,35.9,501,Active,2023-04-27,0,2023,2023Q2,Very Poor,Moderate Burden,0,80
LOAN101438,CUST201438,Personal Loan,Jaipur,Salaried,298000,12.92,5,6768,132037,5.1,766,Active,2023-12-06,0,2023,2023Q4,Excellent,Low Burden,0,80
LOAN101439,CUST201439,Home Loan,Ahmedabad,Business Owner,4425000,8.67,25,36140,278213,13,676,Active,2022-09-10,0,2022,2022Q3,Fair,Low Burden,0,80
LOAN101440,CUST201440,Education Loan,Surat,Business Owner,1483000,9.27,5,30979,59656,51.9,404,Active,2021-02-28,0,2021,2021Q1,Very Poor,High Burden,0,80
LOAN101441,CUST201441,Education Loan,Chennai,Self-Employed,1193000,8.97,10,15093,71262,21.2,774,Active,2020-04-03,0,2020,2020Q2,Excellent,Low Burden,0,80
LOAN101442,CUST201442,Personal Loan,Jaipur,Business Owner,408000,16.82,5,10100,28914,34.9,900,Closed,2021-05-07,0,2021,2021Q2,Excellent,Moderate Burden,0,80
LOAN101443,CUST201443,Education Loan,Kolkata,Freelancer,1515000,8.21,15,14662,273348,5.4,870,Defaulted,2020-04-16,0,2020,2020Q2,Excellent,Low Burden,1,80
LOAN101444,CUST201444,Auto Loan,Bangalore,Business Owner,487000,8.32,7,7668,64043,12,650,Closed,2023-08-09,0,2023,2023Q3,Fair,Low Burden,0,80
LOAN101445,CUST201445,Education Loan,Surat,Freelancer,973000,8.98,15,9857,105876,9.3,704,Active,2021-06-12,0,2021,2021Q2,Good,Low Burden,0,80
LOAN101446,CUST201446,Education Loan,Chennai,Business Owner,1520000,8.45,7,24033,28795,83.5,529,NPA,2022-07-03,852734,2022,2022Q3,Very Poor,Critical Burden,1,80
LOAN101447,CUST201447,Auto Loan,Surat,Business Owner,799000,8.54,5,16408,470519,3.5,858,Active,2022-10-12,0,2022,2022Q4,Excellent,Low Burden,0,80
LOAN101448,CUST201448,Auto Loan,Chennai,Freelancer,1089000,10.01,7,18084,36969,48.9,692,NPA,2022-08-11,394119,2022,2022Q3,Fair,High Burden,1,80
LOAN101449,CUST201449,Home Loan,Surat,Salaried,1693000,7.55,15,15742,295127,5.3,846,Active,2021-03-01,0,2021,2021Q1,Excellent,Low Burden,0,80
LOAN101450,CUST201450,Business Loan,Ahmedabad,Business Owner,363000,14.78,3,12544,140749,8.9,834,Active,2021-05-15,0,2021,2021Q2,Excellent,Low Burden,0,80
LOAN101451,CUST201451,Auto Loan,Delhi,Salaried,520000,8.52,3,16420,32626,50.3,433,Defaulted,2023-03-14,296664,2023,2023Q1,Very Poor,High Burden,1,80
LOAN101452,CUST201452,Home Loan,Kolkata,Business Owner,3810000,8.67,20,33475,148124,22.6,670,Active,2020-07-27,0,2020,2020Q3,Fair,Low Burden,0,80
LOAN101453,CUST201453,Personal Loan,Jaipur,Business Owner,387000,12.94,5,8794,429234,2,780,Active,2020-01-01,0,2020,2020Q1,Excellent,Low Burden,0,80
LOAN101454,CUST201454,Business Loan,Mumbai,Self-Employed,1353000,14.27,10,21228,27377,77.5,441,NPA,2023-11-17,657235,2023,2023Q4,Very Poor,Critical Burden,1,80
LOAN101455,CUST201455,Personal Loan,Delhi,Self-Employed,308000,17.36,2,15282,33608,45.5,564,Active,2020-05-17,0,2020,2020Q2,Very Poor,High Burden,0,80
LOAN101456,CUST201456,Business Loan,Mumbai,Self-Employed,1288000,13.54,3,43734,168878,25.9,766,Active,2021-09-11,0,2021,2021Q3,Excellent,Moderate Burden,0,80
LOAN101457,CUST201457,Personal Loan,Jaipur,Freelancer,197000,11.12,3,6461,137702,4.7,671,Active,2023-10-28,0,2023,2023Q4,Fair,Low Burden,0,80
LOAN101458,CUST201458,Education Loan,Hyderabad,Business Owner,675000,9.52,7,11039,470211,2.3,847,Active,2020-06-09,0,2020,2020Q2,Excellent,Low Burden,0,80
LOAN101459,CUST201459,Business Loan,Pune,Business Owner,2820000,12.06,7,49871,32452,153.7,387,NPA,2022-02-07,1141255,2022,2022Q1,Very Poor,Critical Burden,1,80
